,Powder,Particle Size (smallest) (m),Particle Size (widest) (m),Solvent,Dispersant,Binder Chain Mass (1),Binder Chain Mass (2),Binder_1,Binder_2,Water vol%,Powder vol%,Binder 1 vol%,Binder 2 vol%,Dispersant wt%,Viscosity,Gradient
0,Ytria Stabilised Zirconia,3e-07,3e-07,Water,Dispex A40,0.0,0,Polymeric Emulsion,None,53.4,18.0,28.6,0.0,2.0,6.949489217000001,-6.316331987000001
1,Ytria Stabilised Zirconia,3e-07,3e-07,Water,Dispex A40,0.0,0,Polymeric Emulsion,None,51.3,18.5,30.2,0.0,2.0,6.030079455,-10.18288754
2,Ytria Stabilised Zirconia,3e-07,3e-07,Water,Dispex A40,0.0,0,Polymeric Emulsion,None,52.7,18.8,28.5,0.0,2.0,6.228007946,-13.36078003
3,Alumina,4e-07,4e-07,Water,Dispex A40,55000.0,0,DM765S,None,39.6,38.6,21.8,0.0,0.3,0.094437387,-7.420395924
4,Alumina,4e-07,4e-07,Water,Dispex A40,55000.0,0,DM765S,None,32.2,39.3,28.5,0.0,0.3,0.133298997,-2.012664713
5,Alumina,4e-07,4e-07,Water,Dispex A40,55000.0,0,DM765S,None,30.7,47.5,21.8,0.0,0.3,0.09940594300000001,-0.6671564999999999
6,Alumina,4e-07,4e-07,Water,Dispex A40,55000.0,0,DM765S,None,23.1,48.4,28.5,0.0,0.3,0.087876643,-0.442534486
7,Alumina,5e-07,1e-06,Water,Dispex A40,0.0,0,None,None,62.6,37.1,0.0,0.0,0.26,54.78643259,0.024675807999999997
8,Alumina,5e-07,1e-06,Water,Dispex A40,0.0,0,None,None,62.5,37.2,0.0,0.0,0.26,18.53718221,0.024968899
9,Alumina,5e-07,1e-06,Water,Dispex A40,0.0,0,None,None,62.4,37.4,0.0,0.0,0.26,13.98807979,0.027875692
10,Alumina,5e-07,1e-06,Water,Dispex A40,0.0,0,None,None,61.2,38.5,0.0,0.0,0.26,9.059150741,0.033672014
11,Alumina,5e-07,1e-06,Water,Dispex A40,0.0,0,None,None,60.9,38.9,0.0,0.0,0.26,6.484778287,0.037960588999999996
12,Alumina,5e-07,1e-06,Water,Dispex A40,0.0,0,None,None,60.2,39.6,0.0,0.0,0.26,4.260492173,0.041111123
13,Alumina,5e-07,1e-06,Water,Dispex A40,0.0,0,None,None,59.6,40.1,0.0,0.0,0.26,2.518760448,0.05512823
14,Alumina,5e-07,1e-06,Water,Dispex A40,0.0,0,None,None,59.2,40.5,0.0,0.0,0.26,2.123488582,0.06491048099999999
15,Alumina,5e-07,1e-06,Water,Dispex A40,0.0,0,None,None,58.6,41.1,0.0,0.0,0.26,1.5433555319999999,0.22536178399999998
16,Alumina,5e-07,1e-06,Water,Dispex A40,0.0,0,None,None,58.4,41.3,0.0,0.0,0.26,0.676906482,0.44096339100000004
17,Bauxite,1e-06,2.9999999999999997e-05,Water,None,0.0,0,None,None,55.0,45.0,0.0,0.0,0.25,0.32415431899999997,0.111015196
18,Bauxite,1e-06,2.9999999999999997e-05,Water,CS,0.0,0,None,None,55.0,45.0,0.0,0.0,0.25,0.347004418,0.107686881
19,Bauxite,1e-06,2.9999999999999997e-05,Water,Dispex N40,0.0,0,None,None,55.0,45.0,0.0,0.0,0.25,0.475239617,0.048182588
20,Bauxite,1e-06,2.9999999999999997e-05,Water,Duramax,0.0,0,None,None,55.0,45.0,0.0,0.0,0.25,0.392787636,0.058836308
21,Bauxite,1e-06,2.9999999999999997e-05,Water,Polikol,0.0,0,None,None,55.0,45.0,0.0,0.0,0.25,0.37271139,0.10915477800000001
22,Alumina,5e-07,1e-06,Water,Dispex A40,0.0,0,None,None,37.0,63.0,0.0,0.0,0.098,6.617972861,0.022656733999999998
23,Alumina,5e-07,1e-06,Water,Dispex A40,0.0,0,None,None,52.0,48.0,0.0,0.0,0.114,0.721216042,0.10029375199999999
24,Alumina,3.4e-07,6.1e-07,Water,Dolapix CE64,55000.0,0,PVP,None,39.4,55.7,1.0,0.0,1.476741324,0.017152698,-540.0000034
25,Alumina,3.4e-07,6.1e-07,Water,Dolapix CE64,0.0,0,None,None,41.3,54.7,0.0,0.0,1.52575668,0.017152698,1.49580859
26,Alumina,3.4e-07,6.1e-07,Water,Dolapix CE64,0.0,0,None,None,45.5,50.0,0.0,0.0,1.811594203,0.250151607,0.130664513
